type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,sulfur_dioxide_ratio
0,6.6,0.25,0.29,1.1,0.068,124.0,0.9914,3.34,0.58,11.0,1,0.31451612903225806
0,6.2,0.16,0.33,1.1,0.057,82.0,0.991,3.32,0.46,10.9,1,0.25609756097560976
0,6.4,0.18,0.35,1.0,0.045,108.0,0.9911,3.31,0.35,10.9,1,0.3611111111111111
0,6.9,0.25,0.35,1.3,0.039,191.0,0.9908,3.13,0.52,11.0,1,0.1518324607329843
0,7.2,0.21,0.34,11.9,0.043,213.0,0.9962,3.09,0.5,9.6,1,0.17370892018779344
0,6.0,0.19,0.26,12.4,0.048,147.0,0.9972,3.3,0.36,8.9,1,0.3401360544217687
0,6.6,0.38,0.15,4.6,0.044000000000000004,78.0,0.9931,3.11,0.38,10.2,1,0.32051282051282054
0,7.4,0.2,0.36,1.2,0.038,111.0,0.9926,3.36,0.34,9.9,1,0.3963963963963964
0,6.8,0.22,0.24,4.9,0.092,123.0,0.9951,3.03,0.46,8.6,1,0.24390243902439024
0,7.0,0.47,0.07,1.1,0.035,151.0,0.991,3.02,0.34,10.5,0,0.11258278145695365
0,7.2,0.24,0.27,1.4,0.038,122.0,0.9927,3.15,0.46,10.3,1,0.2540983606557377
0,6.2,0.35,0.03,1.2,0.064,120.0,0.9934,3.22,0.54,9.1,0,0.24166666666666667
0,6.4,0.26,0.24,6.4,0.04,124.0,0.9903,3.22,0.49,12.6,1,0.21774193548387097
0,6.7,0.25,0.13,1.2,0.040999999999999995,174.0,0.992,3.14,0.42,9.8,0,0.46551724137931033
0,6.7,0.23,0.31,2.1,0.046,96.0,0.9926,3.33,0.64,10.7,1,0.3125
0,7.4,0.24,0.29,10.1,0.05,105.0,0.9962,3.13,0.35,9.5,0,0.2
0,6.2,0.27,0.43,7.8,0.055999999999999994,244.0,0.9956,3.1,0.51,9.0,1,0.19672131147540983
0,6.8,0.3,0.23,4.6,0.061,238.5,0.9958,3.32,0.6,9.5,0,0.21174004192872117
0,8.6,0.23,0.46,1.0,0.054000000000000006,72.0,0.9941,2.95,0.49,9.1,1,0.125
0,7.1,0.18,0.36,1.4,0.043,87.0,0.9898,3.26,0.37,12.7,1,0.3563218390804598
0,7.0,0.32,0.34,1.3,0.042,69.0,0.9912,3.31,0.65,12.0,1,0.2898550724637681
0,7.4,0.18,0.3,8.8,0.064,103.0,0.9961,2.94,0.56,9.3,0,0.2524271844660194
0,6.7,0.54,0.28,5.4,0.06,105.0,0.9949,3.27,0.37,9.0,0,0.2
0,6.8,0.22,0.31,1.4,0.053,114.0,0.9929,3.39,0.77,10.6,1,0.2982456140350877
0,7.1,0.2,0.34,16.0,0.05,166.0,0.9985,3.21,0.6,9.2,1,0.3072289156626506
0,7.1,0.34,0.2,6.1,0.063,164.0,0.9946,3.17,0.42,10.0,0,0.2865853658536585
0,7.3,0.22,0.3,8.2,0.047,207.0,0.9966,3.33,0.46,9.5,1,0.2028985507246377
0,7.1,0.43,0.61,11.8,0.045,155.0,0.9974,3.11,0.45,8.7,0,0.34838709677419355
0,7.1,0.44,0.62,11.8,0.044000000000000004,152.0,0.9975,3.12,0.46,8.7,1,0.34210526315789475
0,7.2,0.29,0.63,11.0,0.044000000000000004,156.0,0.9974,3.09,0.44,8.7,1,0.3525641025641026
0,6.8,0.25,0.31,13.3,0.05,202.0,0.9972,3.22,0.48,9.7,1,0.3415841584158416
0,7.2,0.39,0.63,11.0,0.044000000000000004,156.0,0.9974,3.09,0.44,8.7,1,0.3525641025641026
0,6.1,0.27,0.43,7.5,0.049,243.0,0.9957,3.12,0.47,9.0,0,0.2674897119341564
0,6.9,0.24,0.33,1.7,0.035,136.0,0.99,3.26,0.4,12.6,1,0.34558823529411764
0,6.9,0.21,0.33,1.8,0.034,136.0,0.9899,3.25,0.41,12.6,1,0.35294117647058826
0,7.5,0.17,0.32,1.7,0.04,148.0,0.9916,3.21,0.44,11.5,1,0.34459459459459457
0,7.1,0.26,0.29,12.4,0.044000000000000004,240.0,0.9969,3.04,0.42,9.2,1,0.25833333333333336
0,8.6,0.265,0.36,1.2,0.034,80.0,0.9913,2.95,0.36,11.4,1,0.1875
0,7.4,0.25,0.37,13.5,0.06,192.0,0.9975,3.0,0.44,9.1,0,0.2708333333333333
0,7.1,0.12,0.32,9.6,0.054000000000000006,162.0,0.9962,3.4,0.41,9.4,0,0.3950617283950617
0,6.0,0.21,0.24,12.1,0.05,164.0,0.997,3.34,0.39,9.4,0,0.3353658536585366
0,7.3,0.13,0.32,14.4,0.051,109.0,0.9974,3.2,0.35,9.2,1,0.3119266055045872
0,6.9,0.33,0.28,1.3,0.051,187.0,0.9927,3.27,0.6,10.3,0,0.19786096256684493
0,6.5,0.17,0.54,8.5,0.08199999999999999,163.0,0.9959,2.89,0.39,8.8,1,0.39263803680981596
0,7.2,0.31,0.5,13.3,0.055999999999999994,195.0,0.9982,3.01,0.47,9.2,0,0.3487179487179487
0,6.7,0.41,0.34,9.2,0.049,150.0,0.9968,3.22,0.51,9.1,0,0.19333333333333333
0,5.5,0.485,0.0,1.5,0.065,103.0,0.9940000000000001,3.63,0.4,9.7,0,0.07766990291262135
0,6.0,0.31,0.24,3.3,0.040999999999999995,143.0,0.9914,3.31,0.44,11.3,1,0.17482517482517482
0,7.0,0.14,0.4,1.7,0.035,85.0,0.9911,3.19,0.42,11.8,1,0.18823529411764706
0,7.3,0.32,0.48,13.3,0.06,196.0,0.9982,3.04,0.5,9.2,0,0.29081632653061223
0,5.9,0.36,0.04,5.7,0.046,87.0,0.9934,3.22,0.51,10.2,0,0.2413793103448276
0,7.8,0.24,0.32,12.2,0.054000000000000006,138.0,0.9984,3.01,0.54,8.8,0,0.30434782608695654
0,7.4,0.16,0.31,6.85,0.059000000000000004,131.0,0.9952,3.29,0.34,9.7,0,0.2366412213740458
0,6.9,0.19,0.28,5.0,0.057999999999999996,146.0,0.9952,3.29,0.36,9.1,1,0.0958904109589041
0,6.4,0.13,0.47,1.6,0.092,158.0,0.9928,3.21,0.36,9.8,1,0.25316455696202533
0,6.7,0.19,0.36,1.1,0.026000000000000002,143.0,0.9912,3.27,0.48,11.0,1,0.4405594405594406
0,7.4,0.39,0.23,7.0,0.033,126.0,0.9940000000000001,3.14,0.42,10.5,0,0.23015873015873015
0,6.5,0.24,0.32,7.6,0.038,203.0,0.9958,3.45,0.54,9.7,1,0.23645320197044334
0,6.1,0.3,0.56,2.8,0.044000000000000004,179.0,0.9924,3.3,0.57,10.9,1,0.26256983240223464
0,6.1,0.3,0.56,2.7,0.046,184.0,0.9924,3.31,0.57,10.9,1,0.25
0,5.7,0.26,0.25,10.4,0.02,57.0,0.9940000000000001,3.39,0.37,10.6,0,0.12280701754385964
0,6.5,0.425,0.4,13.1,0.038,241.0,0.9979,3.23,0.57,9.0,0,0.24481327800829875
0,6.6,0.24,0.27,15.8,0.035,188.0,0.9982,3.24,0.51,9.2,0,0.24468085106382978
0,6.8,0.27,0.22,8.1,0.034,203.0,0.9961,3.19,0.52,8.9,0,0.270935960591133
0,6.7,0.27,0.31,15.7,0.036000000000000004,179.0,0.9979,3.26,0.56,9.6,0,0.24581005586592178
0,8.2,0.23,0.4,1.2,0.027000000000000003,121.0,0.992,3.12,0.38,10.7,1,0.2975206611570248
0,6.8,0.19,0.36,1.9,0.035,96.0,0.9917,3.15,0.54,10.8,1,0.3125
0,8.1,0.28,0.39,1.9,0.028999999999999998,79.0,0.9923,3.21,0.52,11.8,1,0.22784810126582278
0,6.3,0.31,0.34,2.2,0.045,77.0,0.9927,3.3,0.43,10.2,0,0.2597402597402597
0,7.9,0.21,0.4,1.2,0.039,107.0,0.992,3.21,0.54,10.8,1,0.35514018691588783
0,8.5,0.21,0.41,4.3,0.036000000000000004,99.0,0.9947,3.18,0.53,9.7,1,0.24242424242424243
0,8.1,0.2,0.4,2.0,0.037000000000000005,87.0,0.9921,3.12,0.54,11.2,1,0.21839080459770116
0,6.3,0.255,0.37,1.1,0.04,114.0,0.9905,3.0,0.39,10.9,1,0.32456140350877194
0,5.6,0.16,0.27,1.4,0.044000000000000004,168.0,0.9918,3.28,0.37,10.1,1,0.31547619047619047
0,6.4,0.595,0.14,5.2,0.057999999999999996,97.0,0.9951,3.38,0.36,9.0,0,0.15463917525773196
0,6.3,0.34,0.33,4.6,0.034,80.0,0.9917,3.38,0.58,12.0,1,0.2375
0,6.9,0.25,0.3,4.1,0.054000000000000006,116.0,0.9940000000000001,2.99,0.38,9.4,1,0.19827586206896552
0,7.9,0.22,0.38,8.0,0.043,152.0,0.9934,3.12,0.32,11.5,1,0.3026315789473684
0,7.6,0.18,0.46,10.2,0.055,135.0,0.9968,3.14,0.43,9.9,1,0.42962962962962964
0,7.2,0.18,0.41,1.2,0.048,97.0,0.9919,3.14,0.45,10.4,0,0.422680412371134
0,8.2,0.23,0.4,7.5,0.049,76.0,0.9966,3.06,0.84,9.7,1,0.15789473684210525
0,7.4,0.24,0.42,14.0,0.066,198.0,0.9979,2.89,0.42,8.9,1,0.24242424242424243
0,6.1,0.32,0.24,1.5,0.036000000000000004,124.0,0.9898,3.29,0.42,12.4,1,0.3064516129032258
0,5.2,0.44,0.04,1.4,0.036000000000000004,119.0,0.9894,3.36,0.33,12.1,1,0.36134453781512604
0,6.4,0.22,0.56,14.5,0.055,159.0,0.998,2.98,0.4,9.1,0,0.16981132075471697
0,6.3,0.36,0.3,4.8,0.049,85.0,0.9932,3.28,0.39,10.6,0,0.16470588235294117
0,6.7,0.24,0.35,13.1,0.05,205.0,0.997,3.15,0.5,9.5,0,0.3121951219512195
0,7.0,0.23,0.36,13.0,0.051,177.0,0.9972,3.16,0.49,9.8,0,0.4067796610169492
0,8.4,0.27,0.46,8.7,0.048,197.0,0.9974,3.14,0.59,9.6,1,0.19796954314720813
0,6.7,0.46,0.18,2.4,0.034,98.0,0.9896,3.08,0.44,12.6,1,0.25510204081632654
0,7.5,0.29,0.31,8.95,0.055,151.0,0.9968,3.08,0.54,9.3,0,0.13245033112582782
0,7.1,0.3,0.46,1.5,0.066,133.0,0.9906,3.12,0.54,12.7,1,0.21804511278195488
0,7.9,0.19,0.45,1.5,0.045,96.0,0.9917,3.13,0.39,11.0,1,0.17708333333333334
0,7.6,0.48,0.37,0.8,0.037000000000000005,100.0,0.9902,3.03,0.39,11.4,0,0.04
0,6.3,0.22,0.43,4.55,0.038,130.0,0.9918,3.35,0.33,11.5,1,0.23846153846153847
0,6.9,0.23,0.4,7.5,0.04,151.0,0.9927,3.11,0.27,11.4,1,0.33112582781456956
0,7.2,0.32,0.47,5.1,0.044000000000000004,65.0,0.991,3.03,0.41,12.6,0,0.2923076923076923
0,5.9,0.23,0.3,12.9,0.054000000000000006,170.0,0.9972,3.28,0.39,9.4,0,0.3352941176470588
0,6.0,0.67,0.07,1.2,0.06,108.0,0.9931,3.11,0.35,8.7,0,0.08333333333333333
0,6.4,0.25,0.32,5.5,0.049,176.0,0.995,3.19,0.68,9.2,1,0.23295454545454544
0,6.4,0.33,0.31,5.5,0.048,173.0,0.9951,3.19,0.66,9.3,1,0.24277456647398843
0,7.1,0.34,0.15,1.2,0.053,183.0,0.9936,3.09,0.43,9.2,0,0.3333333333333333
0,6.9,0.27,0.4,14.0,0.05,227.0,0.9979,3.18,0.58,9.6,1,0.28193832599118945
0,6.8,0.26,0.56,11.9,0.043,226.0,0.997,3.02,0.63,9.3,0,0.2831858407079646
0,6.8,0.29,0.56,11.9,0.043,230.0,0.9972,3.02,0.63,9.3,0,0.28695652173913044
0,6.7,0.24,0.41,9.4,0.04,166.0,0.9954,3.12,0.61,9.9,1,0.29518072289156627
0,5.9,0.3,0.23,4.2,0.038,119.0,0.9924,3.15,0.5,11.0,0,0.35294117647058826
0,6.8,0.53,0.35,3.8,0.034,109.0,0.9906,3.26,0.57,12.7,1,0.23853211009174313
0,6.5,0.28,0.28,8.5,0.047,210.0,0.9962,3.09,0.54,8.9,0,0.2571428571428571
0,6.6,0.28,0.28,8.5,0.052000000000000005,211.0,0.9962,3.09,0.55,8.9,1,0.26066350710900477
0,6.8,0.28,0.36,8.0,0.045,123.0,0.9928,3.02,0.37,11.4,1,0.22764227642276422
0,6.6,0.15,0.34,5.1,0.055,125.0,0.9942,3.36,0.42,9.6,0,0.272
0,6.8,0.26,0.24,7.8,0.052000000000000005,214.0,0.9961,3.13,0.47,8.9,0,0.2523364485981308
0,7.1,0.32,0.24,13.1,0.05,204.0,0.998,3.1,0.49,8.8,0,0.2549019607843137
0,6.9,0.54,0.32,13.2,0.05,236.0,0.9973,3.2,0.5,9.6,0,0.2245762711864407
0,6.8,0.26,0.34,13.9,0.034,134.0,0.9949,3.33,0.53,12.0,1,0.291044776119403
0,5.8,0.28,0.35,2.3,0.053,114.0,0.9924,3.28,0.5,10.2,0,0.3157894736842105
0,6.4,0.21,0.5,11.6,0.042,153.0,0.9972,3.15,0.43,8.8,0,0.29411764705882354
0,7.0,0.16,0.32,8.3,0.045,126.0,0.9958,3.21,0.34,9.2,0,0.30158730158730157
0,6.8,0.57,0.29,2.2,0.04,77.0,0.9938,3.32,0.74,10.2,0,0.19480519480519481
0,6.1,0.4,0.31,0.9,0.048,170.0,0.993,3.22,0.77,9.5,1,0.13529411764705881
0,5.6,0.245,0.25,9.7,0.032,68.0,0.9940000000000001,3.31,0.34,10.5,0,0.17647058823529413
0,6.8,0.18,0.38,1.4,0.038,111.0,0.9918,3.32,0.59,11.2,1,0.3153153153153153
0,6.7,0.13,0.29,5.3,0.051,122.0,0.9944,3.44,0.37,9.7,1,0.2540983606557377
0,6.2,0.25,0.25,1.4,0.03,105.0,0.9912,3.3,0.44,11.1,1,0.3333333333333333
0,5.8,0.26,0.24,9.2,0.044000000000000004,152.0,0.9961,3.31,0.38,9.4,0,0.3618421052631579
0,7.5,0.27,0.36,7.0,0.036000000000000004,164.0,0.9939,3.03,0.33,11.0,0,0.27439024390243905
0,7.5,0.23,0.36,7.0,0.036000000000000004,161.0,0.9938,3.04,0.32,11.0,0,0.2670807453416149
0,6.5,0.19,0.3,0.8,0.043,144.0,0.9936,3.42,0.39,9.1,1,0.22916666666666666
0,6.3,0.495,0.22,1.8,0.046,140.0,0.9929,3.39,0.51,10.4,1,0.22142857142857142
0,6.4,0.17,0.32,2.4,0.048,200.0,0.9938,3.5,0.5,9.7,1,0.205
0,7.1,0.25,0.32,10.3,0.040999999999999995,272.0,0.9969,3.17,0.52,9.1,1,0.2426470588235294
0,6.8,0.64,0.08,9.7,0.062,142.0,0.9972,3.37,0.46,8.9,0,0.18309859154929578
0,8.3,0.28,0.4,7.8,0.040999999999999995,194.0,0.9976,3.34,0.51,9.6,1,0.1958762886597938
0,8.2,0.27,0.39,7.8,0.039,208.0,0.9976,3.31,0.51,9.5,1,0.23557692307692307
0,7.2,0.23,0.38,14.3,0.057999999999999996,194.0,0.9979,3.09,0.44,9.0,1,0.28350515463917525
0,6.8,0.52,0.32,13.2,0.044000000000000004,221.0,0.9972,3.27,0.5,9.6,1,0.24434389140271492
0,7.0,0.26,0.59,1.4,0.037000000000000005,120.0,0.9918,3.34,0.41,11.1,1,0.3333333333333333
0,6.2,0.25,0.21,15.55,0.039,159.0,0.9982,3.48,0.64,9.6,1,0.1761006289308176
0,7.3,0.32,0.23,13.7,0.05,197.0,0.9985,3.2,0.46,8.7,0,0.24873096446700507
0,7.7,0.31,0.26,7.8,0.031,90.0,0.9944,3.13,0.5,10.4,0,0.25555555555555554
0,7.1,0.21,0.37,2.4,0.026000000000000002,100.0,0.9903,3.15,0.38,11.4,1,0.23
0,6.8,0.24,0.34,2.7,0.047,218.5,0.9934,3.3,0.58,9.7,1,0.2951945080091533
0,6.9,0.4,0.56,11.2,0.043,142.0,0.9975,3.14,0.46,8.7,0,0.28169014084507044
0,6.1,0.18,0.36,2.0,0.038,249.5,0.9923,3.37,0.79,11.3,1,0.08016032064128256
0,6.8,0.21,0.27,2.1,0.03,139.0,0.99,3.16,0.61,12.6,1,0.18705035971223022
0,5.8,0.2,0.27,1.4,0.031,77.0,0.9905,3.25,0.36,10.9,1,0.15584415584415584
0,5.6,0.19,0.26,1.4,0.03,76.0,0.9905,3.25,0.37,10.9,1,0.15789473684210525
0,7.0,0.41,0.14,10.4,0.037000000000000005,119.0,0.996,3.38,0.45,10.0,0,0.15126050420168066
0,5.8,0.24,0.44,3.5,0.028999999999999998,109.0,0.9913,3.53,0.43,11.7,0,0.045871559633027525
0,5.8,0.24,0.39,1.5,0.054000000000000006,158.0,0.9932,3.21,0.52,9.3,1,0.23417721518987342
0,6.7,0.26,0.39,1.1,0.04,147.0,0.9935,3.32,0.58,9.6,1,0.30612244897959184
0,6.3,0.35,0.3,5.7,0.035,97.0,0.9927,3.27,0.41,11.0,1,0.08247422680412371
0,6.4,0.23,0.39,1.8,0.032,118.0,0.9912,3.32,0.5,11.8,1,0.19491525423728814
0,5.8,0.36,0.38,0.9,0.037000000000000005,75.0,0.9904,3.28,0.34,11.4,0,0.04
0,6.9,0.115,0.35,5.4,0.048,108.0,0.9939,3.32,0.42,10.2,1,0.3333333333333333
0,6.9,0.28,0.4,8.2,0.036000000000000004,95.0,0.9944,3.17,0.33,10.2,0,0.15789473684210525
0,7.2,0.29,0.4,13.6,0.045,231.0,0.9977,3.08,0.59,9.6,1,0.2857142857142857
0,6.2,0.24,0.35,1.2,0.038,167.0,0.9912,3.1,0.48,10.6,1,0.1317365269461078
0,6.9,0.32,0.26,8.3,0.053,180.0,0.9965,3.25,0.51,9.2,1,0.17777777777777778
0,7.0,0.58,0.07,6.9,0.043,149.0,0.9944,3.34,0.57,9.7,0,0.22818791946308725
0,5.3,0.585,0.31,7.1,0.044000000000000004,145.0,0.9945,3.34,0.57,9.7,1,0.23448275862068965
0,5.4,0.59,0.07,7.0,0.045,147.0,0.9944,3.34,0.57,9.7,1,0.24489795918367346
0,5.2,0.6,0.07,7.0,0.044000000000000004,147.0,0.9944,3.33,0.58,9.7,0,0.22448979591836735
0,5.8,0.25,0.26,13.1,0.051,148.0,0.9972,3.29,0.38,9.3,0,0.2972972972972973
0,6.6,0.58,0.3,5.1,0.057,123.0,0.9949,3.24,0.38,9.0,0,0.24390243902439024
0,7.0,0.29,0.54,10.7,0.046,234.0,0.9966,3.05,0.61,9.5,0,0.25213675213675213
0,6.6,0.19,0.41,8.9,0.046,169.0,0.9954,3.14,0.57,9.8,1,0.30177514792899407
0,6.7,0.2,0.41,9.1,0.044000000000000004,166.0,0.9954,3.14,0.58,9.8,1,0.30120481927710846
0,7.7,0.26,0.4,1.1,0.042,60.0,0.9915,2.89,0.5,10.6,0,0.15
0,6.8,0.32,0.34,1.2,0.044000000000000004,67.0,0.9919,3.05,0.47,10.6,0,0.208955223880597
0,7.0,0.3,0.49,4.7,0.036000000000000004,105.0,0.9916,3.26,0.68,12.4,1,0.1619047619047619
0,7.0,0.24,0.36,2.8,0.034,112.0,0.99,3.19,0.38,12.6,1,0.19642857142857142
0,6.1,0.31,0.58,5.0,0.039,114.0,0.9909,3.3,0.6,12.3,1,0.3157894736842105
0,6.8,0.44,0.37,5.1,0.047,201.0,0.9938,3.08,0.65,10.5,0,0.22885572139303484
0,6.7,0.34,0.3,15.6,0.054000000000000006,196.0,0.9982,3.19,0.49,9.3,0,0.2602040816326531
0,7.1,0.35,0.24,15.4,0.055,198.0,0.9988,3.12,0.49,8.8,0,0.23232323232323232
0,7.3,0.32,0.25,7.2,0.055999999999999994,180.0,0.9961,3.08,0.47,8.8,0,0.2611111111111111
0,6.5,0.28,0.33,15.7,0.053,190.0,0.9978,3.22,0.51,9.7,1,0.26842105263157895
0,7.2,0.23,0.39,14.2,0.057999999999999996,192.0,0.9979,2.98,0.48,9.0,1,0.2552083333333333
0,5.9,0.15,0.31,5.8,0.040999999999999995,155.0,0.9945,3.52,0.46,10.5,1,0.3419354838709677
0,6.2,0.28,0.22,7.3,0.040999999999999995,157.0,0.9957,3.44,0.64,9.8,1,0.16560509554140126
0,9.1,0.59,0.38,1.6,0.066,182.0,0.9968,3.23,0.38,8.5,0,0.18681318681318682
0,6.3,0.33,0.27,1.2,0.046,175.0,0.9934,3.37,0.54,9.4,1,0.19428571428571428
0,7.2,0.19,0.46,3.8,0.040999999999999995,187.0,0.9932,3.19,0.6,11.2,1,0.4385026737967914
0,7.5,0.17,0.44,11.3,0.046,146.0,0.997,3.17,0.45,10.0,1,0.4452054794520548
0,6.7,0.17,0.5,2.1,0.043,122.0,0.9923,3.15,0.45,10.3,1,0.22131147540983606
0,6.1,0.41,0.0,1.6,0.063,87.0,0.9914,3.27,0.67,10.8,1,0.41379310344827586
0,8.3,0.2,0.35,0.9,0.05,74.0,0.992,3.13,0.38,10.5,1,0.16216216216216217
0,6.0,0.29,0.21,1.3,0.055,168.0,0.9914,3.32,0.43,11.1,1,0.25
0,7.3,0.41,0.24,6.8,0.057,163.0,0.9949,3.2,0.41,9.9,1,0.25153374233128833
0,7.2,0.43,0.24,6.7,0.057999999999999996,163.0,0.995,3.2,0.41,9.9,0,0.24539877300613497
0,7.3,0.4,0.24,6.7,0.057999999999999996,166.0,0.995,3.2,0.41,9.9,1,0.2469879518072289
0,6.2,0.33,0.27,4.9,0.036000000000000004,134.0,0.9927,3.2,0.42,10.4,1,0.22388059701492538
0,6.2,0.31,0.26,4.8,0.037000000000000005,148.0,0.9928,3.21,0.41,10.4,1,0.24324324324324326
0,6.1,0.36,0.27,2.1,0.035,100.0,0.9917,3.4,0.71,11.5,1,0.16
0,5.0,0.55,0.14,8.3,0.032,164.0,0.9918,3.53,0.51,12.5,1,0.21341463414634146
0,7.8,0.25,0.41,3.7,0.042,149.0,0.9954,3.36,0.45,10.0,1,0.2483221476510067
0,5.7,0.36,0.21,6.7,0.038,166.0,0.9941,3.29,0.63,10.0,1,0.3072289156626506
0,5.8,0.34,0.21,6.6,0.04,167.0,0.9941,3.29,0.62,10.0,0,0.2994011976047904
0,6.8,0.25,0.34,4.7,0.031,134.0,0.9927,3.21,0.38,10.6,1,0.2537313432835821
0,6.6,0.24,0.35,7.7,0.031,135.0,0.9938,3.19,0.37,10.5,0,0.26666666666666666
0,5.9,0.3,0.47,7.85,0.03,133.0,0.9933,3.52,0.43,11.5,1,0.14285714285714285
0,6.1,0.125,0.25,3.3,0.04,69.0,0.9934,3.54,0.59,10.1,1,0.14492753623188406
0,6.0,0.1,0.24,1.1,0.040999999999999995,65.0,0.9927,3.61,0.61,10.3,1,0.23076923076923078
0,6.8,0.28,0.44,9.3,0.031,137.0,0.9946,3.16,0.36,10.4,1,0.25547445255474455
0,8.3,0.41,0.51,2.0,0.046,207.0,0.993,3.02,0.55,11.4,0,0.05314009661835749
0,7.9,0.26,0.41,15.15,0.04,216.0,0.9976,2.96,0.6,10.0,1,0.17592592592592593
0,6.4,0.34,0.23,6.3,0.039,143.0,0.9944,3.19,0.65,10.0,1,0.25874125874125875
0,6.5,0.28,0.35,15.4,0.042,195.0,0.9978,3.23,0.5,9.6,1,0.28205128205128205
0,7.2,0.21,0.41,1.3,0.036000000000000004,85.0,0.992,3.17,0.51,10.4,0,0.38823529411764707
